repo,file,method,startLine,endLine,pattern,suggestion,note
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\UmsMenuServiceImpl.java,covertMenuNode,97,104,RECURSIVE_METHOD,ForkJoin / RecursiveTask,Method calls itself; candidate for divide-and-conquer parallelization.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\UmsRoleServiceImpl.java,allocMenu,94,99,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\UmsRoleServiceImpl.java,allocResource,110,115,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\validator\FlagValidatorClass.java,isValid,24,29,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-admin\src\test\com\macro\mall\PmsDaoTests.java,testInsertBatch,35,41,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
macrozheng/mall,mall-common\src\main\java\com\macro\mall\common\log\WebLogAspect.java,getParameter,99,118,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-demo\src\main\java\com\macro\mall\demo\validator\FlagValidatorClass.java,isValid,19,24,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-mbg\src\main\java\com\macro\mall\CommentGenerator.java,addFieldJavaDoc,59,61,FOREACH_LOOP,Parallel Stream,Per-element work over a collection. Candidate for parallel stream if independent.
macrozheng/mall,mall-mbg\src\main\java\com\macro\mall\Generator.java,<class-level>,34,36,FOREACH_LOOP,Parallel Stream,Per-element work over a collection. Candidate for parallel stream if independent.
macrozheng/mall,mall-mbg\src\main\java\com\macro\mall\model\SmsFlashPromotionExample.java,addCriterionForJDBCDate,122,124,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-mbg\src\main\java\com\macro\mall\model\SmsFlashPromotionSessionExample.java,addCriterionForJDBCTime,122,124,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-mbg\src\main\java\com\macro\mall\model\UmsMemberExample.java,addCriterionForJDBCDate,122,124,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\controller\AlipayController.java,notify,62,64,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\MemberReadHistoryServiceImpl.java,delete,64,68,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,generateOrder,105,124,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,generateOrder,132,134,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,generateOrder,147,149,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,generateOrder,158,161,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,generateOrder,227,230,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,paySuccess,275,281,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,cancelTimeOutOrder,296,298,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,cancelTimeOutOrder,300,310,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,cancelOrder,333,338,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,list,407,413,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,deleteCartItemList,484,486,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,calcGiftGrowth,495,497,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,calcGifIntegration,506,508,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,handleRealAmount,535,542,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,getOrderPromotionInfo,550,553,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,calcIntegrationAmount,579,583,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,calcCouponAmount,592,596,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,calcPromotionAmount,605,609,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,calcPerCouponAmount,676,680,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,getCouponOrderItemByRelation,694,696,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,getCouponOrderItemByRelation,697,703,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,getCouponOrderItemByRelation,706,708,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,getCouponOrderItemByRelation,709,715,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,getUseCoupon,728,732,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,calcTotalAmount,741,743,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,lockStock,751,758,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,hasStock,765,772,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPortalOrderServiceImpl.java,calcCartAmount,784,787,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,calcCartPromotion,36,108,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,getPromotionProductList,117,119,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,groupCartItemBySpu,128,137,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,handleNoReduce,160,172,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,getProductFullReduction,183,187,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,getProductLadder,217,221,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,getCartItemCount,230,232,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,getCartItemAmount,241,246,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,getOriginalPrice,254,258,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\OmsPromotionServiceImpl.java,getPromotionProductById,266,270,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\PmsPortalProductServiceImpl.java,covert,135,142,RECURSIVE_METHOD,ForkJoin / RecursiveTask,Method calls itself; candidate for divide-and-conquer parallelization.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\UmsMemberCouponServiceImpl.java,generateCouponCode,90,92,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\UmsMemberCouponServiceImpl.java,listCart,123,164,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\UmsMemberCouponServiceImpl.java,calcTotalAmount,215,218,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\UmsMemberCouponServiceImpl.java,calcTotalAmountByproductCategoryId,224,229,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\UmsMemberCouponServiceImpl.java,calcTotalAmountByProductId,235,240,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-portal\src\main\java\com\macro\mall\portal\service\impl\UmsMemberServiceImpl.java,generateAuthCode,113,115,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
macrozheng/mall,mall-search\src\main\java\com\macro\mall\search\service\impl\EsProductServiceImpl.java,importAll,67,70,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-search\src\main\java\com\macro\mall\search\service\impl\EsProductServiceImpl.java,delete,94,98,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-search\src\main\java\com\macro\mall\search\service\impl\EsProductServiceImpl.java,convertProductRelatedInfo,255,257,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
macrozheng/mall,mall-search\src\main\java\com\macro\mall\search\service\impl\EsProductServiceImpl.java,convertProductRelatedInfo,262,264,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
macrozheng/mall,mall-search\src\main\java\com\macro\mall\search\service\impl\EsProductServiceImpl.java,convertProductRelatedInfo,270,285,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-security\src\main\java\com\macro\mall\security\component\DynamicAccessDecisionManager.java,<class-level>,28,37,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-security\src\main\java\com\macro\mall\security\component\DynamicSecurityFilter.java,<class-level>,48,53,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-security\src\main\java\com\macro\mall\security\component\DynamicSecurityMetadataSource.java,<class-level>,44,49,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-security\src\main\java\com\macro\mall\security\config\SecurityConfig.java,<class-level>,43,45,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-security\src\main\java\com\macro\mall\security\util\JwtTokenUtil.java,generateToken,117,121,RECURSIVE_METHOD,ForkJoin / RecursiveTask,Method calls itself; candidate for divide-and-conquer parallelization.
lenve/vhr,vhr\vhrserver\vhr-model\src\main\java\org\javaboy\vhr\model\Hr.java,getAuthorities,132,134,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
lenve/vhr,vhr\vhrserver\vhr-service\src\main\java\org\javaboy\vhr\utils\POIUtils.java,employee2Excel,165,204,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
lenve/vhr,vhr\vhrserver\vhr-service\src\main\java\org\javaboy\vhr\utils\POIUtils.java,excel2Employee,237,352,INDEXED_LOOP,ForkJoin / RecursiveTask,Heavy computation in indexed loop. Consider ForkJoin for divide-and-conquer parallelism.
lenve/vhr,vhr\vhrserver\vhr-web\src\main\java\org\javaboy\vhr\config\CustomFilterInvocationSecurityMetadataSource.java,<class-level>,37,46,INDEXED_LOOP,ForkJoin / RecursiveTask,Heavy computation in indexed loop. Consider ForkJoin for divide-and-conquer parallelism.
lenve/vhr,vhr\vhrserver\vhr-web\src\main\java\org\javaboy\vhr\config\CustomUrlDecisionManager.java,<class-level>,27,42,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
lenve/vhr,vhr\vhrserver\vhr-web\src\main\java\org\javaboy\vhr\config\VerificationCode.java,getImage,81,88,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
lenve/vhr,vhr\vhrserver\vhr-web\src\main\java\org\javaboy\vhr\config\VerificationCode.java,drawLine,102,110,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,src\main\java\com\seriouscompany\business\java\fizzbuzz\packagenamingpackage\impl\loop\LoopRunner.java,runLoop,33,35,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,src\main\java\com\seriouscompany\business\java\fizzbuzz\packagenamingpackage\impl\strategies\SingleStepOutputGenerationStrategy.java,performGenerationForCurrentStep,69,72,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
Baseflow/PhotoView,sample\src\main\java\com\github\chrisbanes\photoview\sample\RotationSampleActivity.java,rotateLoop,87,94,RECURSIVE_METHOD,ForkJoin / RecursiveTask,Method calls itself; candidate for divide-and-conquer parallelization.
JeffLi1993/springboot-learning-example,chapter-3-spring-boot-web\src\main\java\demo\springboot\service\impl\BookServiceImpl.java,findByName,76,80,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
youth5201314/banner,app\src\main\java\com\test\banner\bean\DataBean.java,getColors,87,89,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
youth5201314/banner,app\src\main\java\com\test\banner\util\TabLayoutMediator.java,populateTabsFromPagerAdapter,148,152,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
youth5201314/banner,banner\src\main\java\com\youth\banner\indicator\CircleIndicator.java,onDraw,55,61,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
youth5201314/banner,banner\src\main\java\com\youth\banner\indicator\DrawableIndicator.java,onDraw,77,80,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
youth5201314/banner,banner\src\main\java\com\youth\banner\indicator\RectangleIndicator.java,onDraw,53,59,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\PmsProductCategoryServiceImpl.java,insertRelationList,60,65,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\PmsProductServiceImpl.java,handleSkuStockCode,99,112,INDEXED_LOOP,ForkJoin / RecursiveTask,Heavy computation in indexed loop. Consider ForkJoin for divide-and-conquer parallelism.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\PmsProductServiceImpl.java,handleUpdateSkuStockList,199,201,FOREACH_LOOP,Parallel Stream,Per-element work over a collection. Candidate for parallel stream if independent.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\PmsProductServiceImpl.java,updateVerifyStatus,242,250,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\PmsProductServiceImpl.java,relateAndInsertList,313,318,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\SmsCouponServiceImpl.java,create,46,48,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\SmsCouponServiceImpl.java,create,53,55,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\SmsCouponServiceImpl.java,update,90,92,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\SmsCouponServiceImpl.java,update,98,100,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\SmsFlashPromotionProductRelationServiceImpl.java,create,27,29,FOREACH_LOOP,Parallel Stream,Per-element work over a collection. Candidate for parallel stream if independent.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\SmsFlashPromotionSessionServiceImpl.java,selectList,70,76,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\SmsHomeBrandServiceImpl.java,create,24,28,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\SmsHomeNewProductServiceImpl.java,create,24,28,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\SmsHomeRecommendProductServiceImpl.java,create,24,28,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\SmsHomeRecommendSubjectServiceImpl.java,create,24,28,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\UmsAdminServiceImpl.java,updateRole,200,205,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\UmsMenuServiceImpl.java,covertMenuNode,96,103,RECURSIVE_METHOD,ForkJoin / RecursiveTask,Method calls itself; candidate for divide-and-conquer parallelization.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\UmsResourceServiceImpl.java,initPathResourceMap,82,84,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\UmsRoleServiceImpl.java,allocMenu,94,99,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\service\impl\UmsRoleServiceImpl.java,allocResource,110,115,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall-swarm,mall-admin\src\main\java\com\macro\mall\validator\FlagValidatorClass.java,isValid,24,29,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall-swarm,mall-admin\src\test\com\macro\mall\PmsDaoTests.java,testInsertBatch,35,41,INDEXED_LOOP,IntStream.range / LongStream.rangeClosed,Index-based loop. Consider range + map/reduce; use parallel for heavy per-item work.
macrozheng/mall-swarm,mall-common\src\main\java\com\macro\mall\common\log\WebLogAspect.java,getParameter,98,115,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
